<DATE>;<VALUE>;<TYPE>
16.10.2018;117380;Открытие
16.10.2018;117260;Открытие
16.10.2018;117260;Открытие
16.10.2018;117270;Открытие
16.10.2018;117260;Открытие
16.10.2018;117270;Открытие
16.10.2018;117320;Открытие
16.10.2018;117390;Открытие
16.10.2018;117370;Открытие
16.10.2018;117370;Открытие
16.10.2018;117320;Открытие
16.10.2018;117330;Открытие
16.10.2018;117310;Открытие
16.10.2018;117280;Открытие
16.10.2018;117280;Открытие
16.10.2018;117320;Открытие
16.10.2018;117300;Открытие
16.10.2018;117290;Открытие
16.10.2018;117300;Открытие
16.10.2018;117320;Открытие
16.10.2018;117360;Открытие
16.10.2018;117370;Открытие
16.11.2018;113750;Открытие
16.11.2018;113910;Открытие
16.11.2018;113820;Открытие
16.11.2018;113890;Открытие
16.11.2018;113790;Открытие
16.11.2018;113630;Открытие
16.11.2018;113850;Открытие
16.11.2018;113690;Открытие
16.11.2018;113740;Открытие
16.11.2018;113750;Открытие
16.11.2018;113670;Открытие
16.11.2018;113480;Открытие
16.11.2018;113550;Открытие
16.11.2018;113380;Открытие
16.11.2018;113440;Открытие
16.11.2018;113470;Открытие
16.11.2018;113410;Открытие
16.11.2018;113360;Открытие
16.11.2018;113400;Открытие
16.11.2018;113420;Открытие
16.11.2018;113420;Открытие
16.11.2018;113440;Открытие
16.11.2018;113450;Открытие
16.11.2018;113470;Открытие
16.11.2018;113450;Открытие
16.11.2018;113470;Открытие
16.11.2018;113440;Открытие
16.11.2018;113580;Открытие
16.11.2018;113600;Открытие
16.11.2018;113530;Открытие
16.11.2018;113470;Открытие
16.11.2018;113480;Открытие
16.11.2018;113510;Открытие
16.11.2018;113530;Открытие
16.11.2018;113550;Открытие
16.11.2018;113530;Открытие
16.11.2018;113460;Открытие
16.11.2018;113550;Открытие
16.11.2018;113590;Открытие
16.11.2018;113590;Открытие
16.11.2018;113590;Открытие
16.11.2018;113560;Открытие
16.11.2018;113430;Открытие
16.11.2018;113510;Открытие
16.11.2018;113480;Открытие
16.11.2018;113470;Открытие
16.11.2018;113460;Открытие
16.11.2018;113460;Открытие
16.11.2018;113460;Открытие
16.11.2018;113400;Открытие
16.11.2018;113460;Открытие
16.11.2018;113480;Открытие
16.11.2018;113450;Открытие
16.11.2018;113460;Открытие
16.11.2018;113590;Открытие
16.11.2018;113480;Открытие
16.11.2018;113480;Открытие
16.11.2018;113510;Открытие
16.11.2018;113570;Открытие
16.11.2018;113550;Открытие
16.11.2018;113540;Открытие
16.11.2018;113660;Открытие
16.11.2018;113720;Открытие
16.11.2018;113710;Открытие
